,From,Date,Subject,Content_Conversation,Content_Forwarded
0,Henry Yau,"Fri 12/04, 23:09",[offer]  - [1st Technologies LTD] Offer 1st (Pull module) (09 Apr 2019),"Offer – too general, not specific","From: Irene Wan 
Sent: Tuesday, April 9, 2019 5:41 PM
To: offer <offer@sinobestech.com.hk>
Subject: [offer] - [1st Technologies LTD] Offer 1st (Pull module) (09 Apr 2019)
 
All Pulled, from HP, DELL and IBM

Die: Hynix, Samsung, Micron, Elpidia


2GB PC3-10600R 2RX8 2000 $3 $6000

4GB PC3-8500R 4RX8 1000 $3 $3500

4GB PC3-12800R 1RX8 600 $9 $5400

4GB PC3-12800R 2RX8 350 $8 $2800

4GB PC3-10600R 2RX8 250 $8 $2000

4GB PC3L-10600R 2RX8 250 $8 $2000

2GB PC3L-8500E 2RX8 180 $3 $630

2GB PC3L-10600R 1RX8 150 $4 $675"
1,Henry Yau,"Fri 12/04, 23:09",Offer OM (  Spectek offer for 9.4.19 ),,"From: Irene Wan 
Sent: Tuesday, April 9, 2019 11:44 AM
To: info <info@sinobestech.com.hk>
Subject: Offer OM ( Spectek offer for 9.4.19 )
Importance: High


 
** BID **
 
 




Desc



DDR2



Status



Part#



Qty




256X8


DDR2


stk


XBA256M8U69AO8YFF-SSSV


17K




256X8


DDR2


stk


XAA256M8U69AO8CJF-SSHL


19K




256X8


DDR2


stk


SGG256M8U69AO8CJF-25E


60K




128x8 


ddr2


 


PRM128M8U88BO8CCF-25


200K




 


DDR2


stk


PRM64M16U88BO8ZLF-25


250k




64X16 DDR2


DDR2


stk


PRN64M16U88BO8ZLF-25


250k




64X16 DDR2


DDR2


stk


XBA64M16U68AOAZLF-SSWT


84K




64X16


DDR2


stk


XBA64M16U88BO8ZLF-BLSK


196K




64X16


DDR2


stk


XAA64M16U68AOAZLF-SSCL


60k




64X16


DDR2


stk


XAA64M16U88BO8ZLF-SSCL


220k




128X16 


DDR2


stk


XBA128M16U69AO8ZTF-SSWT


50K





Desc


DDR3



Status



Part#



Qty




256X16


DDR3


stk


XBA256M16V70SG8REF-BLSK


1463




256X16


DDR3


stk


XBA256M16V80AG8GPF-BLSK


6526




256X16


DDR3


stk


PRM256M16V00HG8GNF-125


33k




 


 


 


PRN256M16V00HG8GNF-125


26k




256X16


DDR3


stk


PRM256M16V90BG8LYF-125


26K




256X16


DDR3


stk


PRM256M16V80AG8GPF-15E


150K




256X16


DDR3


stk


SUU256M16V00HG8TW-125TP      


100K




 


 


stk


XAA256M16V00HG8GNF-SSWT


28161




256X16


DDR3


stk


XAA256M16V80AG8GPF-SSSV


150K




256X16


DDR3


stk


XBA256M16V80AG8GPF-SSSV


16482




256X16


DDR3


stk


SUU256M16V00HG8TW-125DG      


18K




256X16


DDR3


stk


XAA256M16V80AG8GPF-SSHL


16k




256X16


DDR3


stk


XAA256M16V80AG8GPF-SSCL


71K




1024x8 


DDR3


stk


PRN1024M8V91AG8SNF-125


26K




1024x8 


DDR3


stk


XBA1024M8V91AG8SNF-SSSV


3579




1gx8


DDR4


stk


XAA1G8Z11BD8SA-SS


75K




1gx8


DDR4


stk


SUM1G8Z11BD8SA-SSMB


37K




2gx8


DDR4


stk


XAA2G8Z01AD8NRE-SSSK         


12k




2gx8


DDR4


stk


XAA2G8Z01BD8NRE-SSSK         


3020




512X8


DDR4


stk


SUU512M8Z20AD8SA-093DG       


30K




512X8 ddr3


DDR3


stk


XAA512M8V00HG8DA-SS


75k




512X8 ddr3


DDR3


stk


SUU512M8V90BG8RG-125DG


28K




512X8 ddr3


DDR3


stk


SUU512M8V00HG8DA-125DG


45k




512X16 DDR3


DDR3


stk


PRN512M16V91AG8GPF-125


60K




512X16 DDR3


DDR3


stk


XBA512M16V91AG8GPF-SSSV


21K




512X16 DDR3


DDR3


stk


XAA512M16V91AG8GPF-SSWT      


23k




512X16 DDR3


DDR3


stk


XAA512M16V91AG8GPF-SSHL


50k




512X16 DDR3


 


 


XBA512M16V91AG8GPF-BLSK


12465




128X16 DDR3


DDR3


stk


PRN128M16V89CG8GNF-15E       


80k




128X16 DDR3


DDR3


stk


PRM128M16V89CG8GNF-15E


30K




128X16


DDR3


stk


XAA128M16V89CG8GNF-SSWT      


150K




128X16


DDR3


stk


XAA128M16V89CG8GNF-SSCL


405k




128X16


DDR3


stk


XAA128M16V89CG8GNF-SSHL


306k




64X16


DDR3


stk


SMG64M16V88AG8GNF-125


200k




64X16


DDR3


stk


SGG64M16V88AG8GNF-125


200k




64X16


DDR3


stk


XAA64M16V88AG8GNF-SSCL


329K




 


 


 


XAA64M16V88AG8GNF-SSHL


152K




256X8


DDR3


stk


XAA256M8V00HG8DA-SSWT


30k




256X8


DDR3


stk


PRA256M8V89CG8GQF-15E


50k




256X8


DDR3


stk


PRM256M8V89CG8GQF-15E


75k




256X8


DDR3


stk


PRN256M8V89CG8GQF-15E


100k




256X8 


DDR3


stk


XAA256M8V89CG8GQF-SSCL


500k




256X8 


DDR3


stk


XAA256M8V00HG8DA-SSHL


102k




256X8 


DDR3


stk


XAA256M8V89CG8GQF-SSHL


150k




128X8 


DDR3


stk


PRM128M8V88AG8GQF-125


75K




lpddr3


lpddr3


stk


SS256M32V01MD1LPF-107BT


16690




lpddr3


lpddr3


stk


SM512M32V01MD2LPF-125PT


2040




 


lpddr3


stk


SM512M32V01MD2LPF-107BT


2219




 


lpddr3


stk


SU512M32V01MD2LPF-107BT


621




 


DDR3


stk


XCB1G4V90BG8RG-MSPD


86K




 


DDR3


stk


XCBB256M8V89CG8DA-MSPD


111k




 


DDR3


stk


XCB512M8V00HG8DA-MSPD


26k




 


DDR3


stk


XCB256M8V89CG8GQF-125


26k




 


 


 


XCBB512M8V00HG8DA-MSPD


19k




 


 


 


XCBB512M8V90BG8RG-MSPD


10422




 


ddr4


 


XCB1G8Z11BD8SA-MSPD


33K




 


ddr4


 


XCB1G8Z01BD8WE-MSPD


11023




 


ddr4


 


XCB512M8Z10BD8SA-MSPD


55k




 


 


 


XCB512M8Z01AD8WE-MSPD


31k




 


 


 


XCB512M8Z01BD8WE-MSPD


5670




 


 


 


XCB512M8Z90BD8RH-MSPD


20k




 


 


L/T 2 days


XCB512M8Z00BD8WE-MSPD


32053




 


 


 


XCB512M8Z11CD8SA-MSPD


3168"
2,Henry Yau,"Fri 12/04, 23:07",B&S offer,,"From:
Doris Chang <dorischang@sbit.com.tw> 
Sent: Tuesday, April 9, 2019 12:01 PM
To: Sales TW <salestw@sbit.com.tw>
Subject: B&S offer 


 
offer 
H27U2G8F2CTR-BC 1.20 tray 18+/ 1.00 reel 16+ 
H27UCG8F2BTR-BC 0.93 
T5CC128M16JR-EK 1.10 
K4T51163QQ-BCE7 0.85 
K4T1G164QG-BCE7 2.60 
K4B1G1646G-BCK0 1.75 
K4B1G1646I-BYK0 1.2 尾數

K4B1G1646I-BCK0 1.10 reel 4B1G1646I-BCMA 1.05 / reel 1.01 
K4B1G0846I-BCMA 1.22 
K4B2G1646F-BYMA 1.03 
K4B2G1646F-BCNB 1.12 
K4B2G0846F-BCK0 1.38 
K4B2G0846F-BCMA 1.28 
K4B2G0846F-BYMA 1.45 
K4B4G1646E-BCNB 1.98 
K4B4G1646E-BCMA 1.71 
K4B4G1646E-BYMA 1.95 
K4B4G1646E-BYK0 1.75 
K4B4G1646D-BCK0 2.25 
K4B8G1646D-MYK0 12.00 
K4B4G0846E-BCMA 2. 
K4B4G0846E-BYK0 1.92 
K4B40846E-BCNB 2.15 
MT29F32G08CBADA-M 1.70 16+ 
H5AN8G6NAFR-UHC 5.20 1744DC 
K4A4G165WE-BCRC 2.28 
K4A4G085WE-BCRC 2.28 

 


取得 iOS
版 Outlook"
3,Henry Yau,"Fri 12/04, 23:06",[offer]  - [Kaan Technologies Ltd]  (09 Apr 2019),,"From: albertliu@sbit.com.tw <albertliu@sbit.com.tw> 
Sent: Tuesday, April 9, 2019 1:36 PM
To: offer@sbit.com.tw
Subject: [offer] - [Kaan Technologies Ltd] (09 Apr 2019)
 
K9F4G08U0F-SCB0000 $0.97 or tp 50K 1day 

SLC 8Gbit  CYPRESS TSOP48 S34ML08G101TFI200 $3.60 DC17+ 2days

MV88   KMFN60012M-B214003  7.75 2days   

MV1616  KMQE60013M-B318 T03 $12.95 2days 

MV3216  KMQD60013M-B318T01  Bid  booking  3-5days

MV3232 KMRD60014M-B512001 Bid 5k around 

MX12848 KM3V6001CM-B705 $53.0 

LPDDR3 16G K4E6E304EC-EGCG000  $11.5 本周五或下周一 

LPDDR3 32G K4EBE304EC-EGCG000   $25.0 5days 

LPDDR4  8G  K4F8E304HB-MGCJ  Bid 11k多1lot 1day

LPDDR4 16G K4F6E3D4HB-MHCJT2V Bid 1,077pcs 

EMMC 4G KLM4G1FETE-B041001  $1.815 moq:20K 

EMMC 16G KLMAG1JETD-B041 $3.33 2240PCS 周四或周五

EMMC  64G KLMCG2KETM-B041007 $12.5 have par 1day

EMMC  64G KLMCG2KETM-B041TY0 $12.5 3days 

DDR3 K4B2G1646F-BYMA $1.03 moq:10K 

DDR3 K4B2G1646F-BCNB $1.05 1day

DDR3  K4B4G1646D-BCK0  $2.25 MOQ:10k 4-5days 

DDR3 K4B4G1646E-BCMA $1.70 1day 

DDR3 K4B4G1646E-BCNB Bid 

DDR3 K4B4G1646E-BYMA Bid 

DDR3  K4B8G1646D-MCK0TCV  $6.80 1day

DDR4 K4A8G165WB-BCRC $4.8 

DDR4 K4A8G085WB-BCRC $4.78 MOQ:10k 

DDR4  K4A8G085WC-BCRC Bid 

DDR4 K4A8G045WB-BCRC0S3 $5.80 or tp 4days 

DDR4 K4AAG085WB-MCPB000 $9.20 10k 2days 

GDDR5  256*32-8G K4G80325FB-HC25000  $5.30 1day 

GDDR5 256*32-6G MT51J256M32HF-60:A $3.93"
4,Henry Yau,"Fri 12/04, 22:52",Apple Stocks Wholesale: iPhones and iPads for Sale,"We received offer, but sometimes we have no experience on selling these phone model","From: Leo Jolliffe <leo@digitalcomgroup.net> 
Sent: Wednesday, April 10, 2019 8:44 AM
To: sales <sales@sbit.com.tw>
Subject: Apple Stocks Wholesale: iPhones and iPads for Sale


 




 




 





APPLE STOCK



COLORS



QTY



USD




Apple iPhone 6 16GB  Grade A


 Silver, Gold, Gray


168


$89.51 




Apple iPhone 6 64GB   Grade A


 Silver, Gold


130


$113.72 




Apple iPhone 6 Plus 64GB   Grade
A


Gold


67


$137.90 




Apple iPhone 6s 16GB   Grade A


Rose, Silver, Gold


158


$124.93 




Apple iPhone 6s 128GB   Grade A


Silver, Rose Gold


102


$196.18 




Apple iPhone 7 32GB   Grade A


Black, Silver


112


$179.38 




Apple iPhone 7 Plus 32GB   Grade
A


Rose, Black, Silver


117


$258.19 




Apple iPhone 7 Plus 128GB   Grade
A


Silver, Black, Rose, Gold


78


$280.40 




Apple iPhone 8 64GB   Grade A


Silver, Gold, Black


188


$286.65 




Apple iPhone 8 256GB   Grade A


Silver, Red, Gold, Black


96


$323.39 




Apple iPhone 8 Plus 64GB   Grade
A


Gold, Silver, Red


112


$338.39 




Apple iPhone 8 Plus 256GB   Grade
A


Black, Silver, Red


87


$383.87 




Apple iPhone X 64GB  Grade A


Silver, Black


110


$476.87 




Apple iPhone X 256GB  Grade A


Silver


78


$528.02 






IPADS (GRADE A+) WITH BOX & ACCESSORIES




Apple iPad 9.7"" (2017) 32GB WiFi   Grade
A+


Silver, Gold


46


$116.9 




Apple iPad 9.7"" (2018) 32GB WiFi  Grade
A+


Gold


51


$131.3 




Apple iPad Air 2 128GB Wifi Cellular Grade
A+


Gold


41


$170.5 




Apple iPad Air 2 16GB Wifi Grade
A+


Silver, Gold


35


$108.9 




Apple iPad Air 2 32GB Wifi Cellular Grade
A+


Grey


105


$139.6 




Apple iPad Air 2 64GB Wifi  Grade
A+


Gold, Silver


92


$133.2 




Apple iPad Mini 2 16GB WiFi  Grade
A+


Silver, Grey


88


$83.5 




Apple iPad Mini 2 32GB WiFi  Grade
A+


Silver, Grey


86


$93.6 




Apple iPad Mini 2 32GB WiFi 4G  Grade
A+


Silver


68


$108.4 




Apple iPad Mini 3 128GB Wifi  Grade
A+


Silver


61


$127.9 




Apple iPad Mini 3 16GB Wifi  Grade
A+


Gold


115


$94.5 




iPad Pro (2015) 12.9"" 128GB WiFi  Grade
A+


Grey


87


$238.1 




iPad Pro (2015) 12.9"" 256GB WiFi 4G  Grade
A+


Grey


73


$323.2 




iPad Pro (2017) 10.5"" 256GB WiFi  Grade
A+


Rose Gold, Grey


68


$321.0 




Apple iPad Pro (2017) 10.5"" 64GB WiFi  Grade
A+


Silver, Grey, Rose


72


$236.7 




Apple iPad Pro (2017) 12.9"" 64GB WiFi  Grade
A+


Grey


58


$306.3 




Apple iPad Pro 9.7"" 128GB WiFi 4G  Grade
A+


Rose Gold


37


$225.5 




Apple iPad Pro 9.7"" 32GB WiFi  Grade
A+


Rose Gold, Silver


76


$148.6 




Apple iPad Pro 9.7"" 32GB WiFi 4G  Grade
A+


Rose Gold


27


$169.6 




 



NEW OPEN BOXED IPHONES



Apple iPhone XR 128GB  (New, Opened
Box)


Black, Red, Blue  


90


$679.36 




Apple iPhone XR 64GB  (New,
Opened Box)


Black, White


42


$642.40 




Apple iPhone XR 64GB  (New, Opened
Box)


Red 


29


$653.58 




Apple iPhone Xs 256GB  (New, Opened
Box)


Silver


68


$976.80 




Apple iPhone Xs 64GB  (New, Opened
Box)


Grey, Silver


64


$828.08 




Apple iPhone Xs Max 256GB  (New,
Opened Box)


Grey 


46


$1,050.28 




Apple iPhone Xs Max 64GB  (New,
Opened Box)


Grey, Silver


84


$921.36 



 

 

DIGITAL COMMUNICATIONS GROUP LIMITED

301K-8882 170 St NW, Edmonton, AB T5T 4M2 Canada

t/w:+1 (506) 406-2405   |  e: sales@digitalcomgroup.net
Skype: itsales118@hotmail.com













This email was sent to you because we think you might be interested in these devices
If you no longer wish to receive our emails, you may Unsubscribe
by email here"
5,Henry Yau,"Fri 12/04, 22:49",Offer OM (  Micron SSD ),"Offer with quantity but no  price, you need to bid","From: Irene Wan 
Sent: Wednesday, April 10, 2019 11:40 AM
To: info <info@sinobestech.com.hk>
Subject: Offer OM ( Micron SSD )
Importance: High


 
 
Need firm TP, All New, D/C 2018, 7-10 days to  HKG
 
 



Part No


Type


quantity




MTFDDAV480TBY-1AR1ZABYY


5100 ECO 480GB M.2


400




MTFDDAV1T9TCB-1AR1ZABYY


5100 PRO 1920GB M.2


200




MTFDDAV960TCB-1AR1ZABYY


5100 PRO 960GB M.2


300




MTFDDAK1T9TDC-1AT1ZABYY


5200 ECO 1920GB 2.5inch


301




MTFDDAK3T8TDC-1AT1ZABYY


5200 ECO 3840GB 2.5inch


39




MTFDDAK480TDC-1AT1ZABYY


5200 ECO 480GB 2.5inch


258




MTFDDAK7T6TDC-1AT1ZABYY


5200 ECO 7680GB 2.5inch


50




MTFDDAK960TDC-1AT1ZABYY


5200 ECO 960GB 2.5inch


132




MTFDDAK1T9TDN-1AT1ZABYY


5200 MAX 1920GB 2.5inch


50




MTFDDAK960TDN-1AT1ZABYY


5200 MAX 960GB 2.5inch


50




MTFDDAK960TDD-1AT1ZABYY


5200 PRO 960GB 2.5inch


50




MTFDDAK1T9QDE-2AV1ZABYY


5210 1920GB 2.5inch


100




MTFDDAK3T8QDE-2AV1ZABYY


5210 3840GB 2.5inch


100




MTFDDAK7T6QDE-2AV1ZABYY


5210 7680GB 2.5inch


50"
6,Henry Yau,"Fri 12/04, 22:46",TAKE IT ALL BIDDING OFFER - Pan Electronic,offer,"From:
Daniel Yu 
Sent: Thursday, April 11, 2019 8:57 AM
To: info <info@sinobestech.com.hk>
Subject: TAKE IT ALL BIDDING OFFER - Pan Electronic


 



Good morning!


 


We want to sell following stock, good looking pull, 3 days to Hong Kong, 30 days warranty, please let me know your target price for bid.


 



2667V2 x 150 


2667V3 x 200 


2697V3 x 200 


8890V3 x 200 


E3-1270 SR00N x 200 


 


Jason











PAN ELECTRONICS LIMITED


聚 豐 成 電 子 有 限 公 司


Tel: +852 2754 1920 


Fax: +852 2754 1766


Whatsapp: +852 5600 1508



Wechat: +86 136 1295 2728


Skype: jasonsuhk@gmail.com



香港九龍九龍灣臨興街26號富洋工業中心4樓01B室


Unit 01B, 4/F, Hope Sea Industrial Centre, 26 Lam Hing Street, Kowloon Bay, Kowloon, Hong Kong"
7,Henry Yau,"Fri 12/04, 22:39",Azure account,"Please cehck with Kenneth, apparently Azure do not support the SQL installation","From: Kenneth Chung <kennethchung@sbit.com.tw> 
Sent: Friday, April 12, 2019 6:28 PM
To: Henry Yau <henry@sinobestech.com.hk>
Subject: Azure account


 
 



Azure


Username


Password




 


khchung_sbtgc@outlook.com


Kenneth0220



 



Azure 






SQL Database












Subscription


Free




Resource group


SBTGC










Server name


appserver2-sbtgc.database.winodws.net




Server admin login


sbtgcadmin




Password


tACI3435pa$$



 
Support Choice deploy to Azure will finish

 
But error occurs
If cannot find a solution will try to build a cloud machine and use the Microsoft SQL server not Azure SQL service

 
Best Regards,
 




www.sbit.com.tw


鍾冠熙
Kenneth Chung




華峰國際科技有限公司




Sinobest International Technology Limited




23144新北市新店區寶中路92號3樓之1




23144, 3F-1, 92 Baozhong Rd., Xindian District, New Taipei City, Taiwan (R.O.C.)




Tel:


+886 (2) 2912 3022




Fax:


+886 (2) 2912 3255




MP/Whatsapp/Line :


+886 916 143 760




eMail/Skype:


kennethchung@sbit.com.tw"
8,Henry Yau,"Fri 12/04, 22:28",Offer -Toshiba Cards,,"From: Florence Lee 
Sent: Tuesday, April 9, 2019 11:59 AM




 
12/13 APR SHIP
Part number, memory size, $ price


THN-M102K0080A4 8 $1.85 

THN-M102K0160A4 16 $1.90 

THN-M203K0160A4 16 $1.95 

THN-M203K0320A4 32 $3.15 

THN-M203K0640A4 64 $6.35 

THN-M203K1280A4 128 $13.95 

THN-M203K2560A4 256 $35.35 

THN-M203K0160A2 16 $2.05 

THN-M203K0320A2 32 $3.25 

THN-M203K0640A2 64 $6.45 

THN-M203K1280A2 128 $14.05 

THN-M203K2560A2 256 $35.45 

THN-M303R0320A2 32 $8.25 

THN-M303R0640A2 64 $13.60 

THN-M303R1280A2 128 $24.55 

THN-M303R2560A2 256 $46.60 

THN-N203N0160A4(JU 16 $3.05 

THN-N203N0320A4(JU 32 $4.10 

THN-N203N0640A4(JU 64 $8.15 

THN-N203N1280A4(JU 128 $16.10 

THN-N203N2560A4(JU 256 $53.60 

THN-N401S0320A4 32 $9.70 

THN-N401S0640A4 64 $17.15 

THN-U202W0160A4 16 $2.30 

THN-U202L0160A4 16 $2.30 

THN-U202W0320A4 32 $3.25 

THN-U202W0640A4 64 $6.25 

THN-U202W1280A4 128 $15.10 

THN-U203W0160A4 16 $2.30 

THN-U203W0320A4 32 $3.25 

THN-U203W0640A4 64 $6.25 

THN-U203W1280A4 128 $15.10 

THN-U401S0160A4 16 $4.60 

THN-U401S0320A4 32 $7.10 

THN-U401S0640A4 64 $11.85 

THN-U301W0320A4 32 $3.90 

THN-U301W0640A4 64 $7.05 

THN-U301W1280A4 128 $16.10 

THN-U365K0320A4 32 $3.90 

THN-U365K0640A4 64 $7.05 

THN-U365K1280A4 128 $16.10 

THN-U365K2560A4 256 $33.25"
9,Henry Yau,"Fri 12/04, 22:26",an offer by our vendor - quantity we can guess only,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



SLC K9F1G08UOF-SCB0 0.65
K9F2G08UOC-SCB0 4.80
K9F2G08UOD-SCB0 0.9
K9F4G08UOF-SCB0 0.97
K9K8G08UOF-SIBO TP

EMMC KLM4G1FETE-B041 1.8
KLM8G1GETF-B041 2.3
KLMAG1JETD-B041 3.32
KLMAG1JENB-B041 TP

D2 K4T51163QQ-BCE7 0.65
K4T51163QQ-BCF7 1.35

D3 K4B1G1646G-BCK0 1.95
K4B1G1646I-BCK0 TP
K4B1G1646I-BYMA 1.03
K4B2G1646F-BYMA 1.03
K4B4G1646E-BCMA 1.72
K4B4G1646E-BYMA TP
K4B4G1646D-BCK0 2.26
K4B8G1646Q-MYK0 TP

D4 K4A4G165WE-BCRC 2.18
K4A8G165WB-BCRC TP

MICRON
MT29F128G08CFAAAWP-Z TP
MT41K256M16HA-128IT:E 5.4",
